id,name,discount_amount,issue_start_time,issue_end_time,max_quantity,issued_quantity,expiry_days,created_at,updated_at
58,Coupon00058,7587,2025-01-01 00:00:00,2025-12-31 23:59:59,6214,5897,73,2025-06-06 01:20:06,2025-06-06 01:20:06
59,Coupon00059,2704,2025-01-01 00:00:00,2025-12-31 23:59:59,3685,2420,82,2025-06-06 01:20:06,2025-06-06 01:20:06
60,Coupon00060,6963,2025-01-01 00:00:00,2025-12-31 23:59:59,3778,2447,27,2025-06-06 01:20:06,2025-06-06 01:20:06
61,Coupon00061,1970,2025-01-01 00:00:00,2025-12-31 23:59:59,9016,1581,26,2025-06-06 01:20:06,2025-06-06 01:20:06
62,Coupon00062,9869,2025-01-01 00:00:00,2025-12-31 23:59:59,3962,1682,33,2025-06-06 01:20:06,2025-06-06 01:20:06
63,Coupon00063,6623,2025-01-01 00:00:00,2025-12-31 23:59:59,8990,1520,46,2025-06-06 01:20:06,2025-06-06 01:20:06
64,Coupon00064,7734,2025-01-01 00:00:00,2025-12-31 23:59:59,8871,317,66,2025-06-06 01:20:06,2025-06-06 01:20:06
65,Coupon00065,5909,2025-01-01 00:00:00,2025-12-31 23:59:59,3386,2889,45,2025-06-06 01:20:06,2025-06-06 01:20:06
66,Coupon00066,7121,2025-01-01 00:00:00,2025-12-31 23:59:59,2492,813,48,2025-06-06 01:20:06,2025-06-06 01:20:06
67,Coupon00067,7860,2025-01-01 00:00:00,2025-12-31 23:59:59,3195,2876,59,2025-06-06 01:20:06,2025-06-06 01:20:06
68,Coupon00068,4839,2025-01-01 00:00:00,2025-12-31 23:59:59,7993,3908,22,2025-06-06 01:20:06,2025-06-06 01:20:06
69,Coupon00069,8647,2025-01-01 00:00:00,2025-12-31 23:59:59,8117,123,48,2025-06-06 01:20:06,2025-06-06 01:20:06
70,Coupon00070,3143,2025-01-01 00:00:00,2025-12-31 23:59:59,1375,1202,47,2025-06-06 01:20:06,2025-06-06 01:20:06
71,Coupon00071,1690,2025-01-01 00:00:00,2025-12-31 23:59:59,2585,1824,60,2025-06-06 01:20:06,2025-06-06 01:20:06
72,Coupon00072,4877,2025-01-01 00:00:00,2025-12-31 23:59:59,6483,148,54,2025-06-06 01:20:06,2025-06-06 01:20:06
73,Coupon00073,8728,2025-01-01 00:00:00,2025-12-31 23:59:59,2589,1444,40,2025-06-06 01:20:06,2025-06-06 01:20:06
74,Coupon00074,7042,2025-01-01 00:00:00,2025-12-31 23:59:59,2486,513,17,2025-06-06 01:20:06,2025-06-06 01:20:06
75,Coupon00075,3221,2025-01-01 00:00:00,2025-12-31 23:59:59,7887,2936,83,2025-06-06 01:20:06,2025-06-06 01:20:06
76,Coupon00076,5229,2025-01-01 00:00:00,2025-12-31 23:59:59,5093,3865,8,2025-06-06 01:20:06,2025-06-06 01:20:06
77,Coupon00077,8679,2025-01-01 00:00:00,2025-12-31 23:59:59,1957,360,65,2025-06-06 01:20:06,2025-06-06 01:20:06
78,Coupon00078,8677,2025-01-01 00:00:00,2025-12-31 23:59:59,3026,8,36,2025-06-06 01:20:06,2025-06-06 01:20:06
79,Coupon00079,9741,2025-01-01 00:00:00,2025-12-31 23:59:59,4141,1769,58,2025-06-06 01:20:06,2025-06-06 01:20:06
80,Coupon00080,1178,2025-01-01 00:00:00,2025-12-31 23:59:59,7601,3980,55,2025-06-06 01:20:06,2025-06-06 01:20:06
81,Coupon00081,9279,2025-01-01 00:00:00,2025-12-31 23:59:59,4819,4331,87,2025-06-06 01:20:06,2025-06-06 01:20:06
82,Coupon00082,4665,2025-01-01 00:00:00,2025-12-31 23:59:59,2520,624,53,2025-06-06 01:20:06,2025-06-06 01:20:06
83,Coupon00083,9446,2025-01-01 00:00:00,2025-12-31 23:59:59,7243,5281,12,2025-06-06 01:20:06,2025-06-06 01:20:06
84,Coupon00084,8906,2025-01-01 00:00:00,2025-12-31 23:59:59,8051,5692,23,2025-06-06 01:20:06,2025-06-06 01:20:06
85,Coupon00085,4412,2025-01-01 00:00:00,2025-12-31 23:59:59,9511,4071,37,2025-06-06 01:20:06,2025-06-06 01:20:06
86,Coupon00086,1051,2025-01-01 00:00:00,2025-12-31 23:59:59,8550,6134,44,2025-06-06 01:20:06,2025-06-06 01:20:06
87,Coupon00087,1007,2025-01-01 00:00:00,2025-12-31 23:59:59,8741,1315,72,2025-06-06 01:20:06,2025-06-06 01:20:06
88,Coupon00088,4584,2025-01-01 00:00:00,2025-12-31 23:59:59,6258,4067,89,2025-06-06 01:20:06,2025-06-06 01:20:06
89,Coupon00089,1557,2025-01-01 00:00:00,2025-12-31 23:59:59,2196,850,81,2025-06-06 01:20:06,2025-06-06 01:20:06
90,Coupon00090,5096,2025-01-01 00:00:00,2025-12-31 23:59:59,4606,1116,76,2025-06-06 01:20:06,2025-06-06 01:20:06
91,Coupon00091,4842,2025-01-01 00:00:00,2025-12-31 23:59:59,9865,3315,45,2025-06-06 01:20:06,2025-06-06 01:20:06
92,Coupon00092,7582,2025-01-01 00:00:00,2025-12-31 23:59:59,6983,3720,9,2025-06-06 01:20:06,2025-06-06 01:20:06
93,Coupon00093,8593,2025-01-01 00:00:00,2025-12-31 23:59:59,4194,1331,84,2025-06-06 01:20:06,2025-06-06 01:20:06
94,Coupon00094,6482,2025-01-01 00:00:00,2025-12-31 23:59:59,5833,4252,84,2025-06-06 01:20:06,2025-06-06 01:20:06
95,Coupon00095,6791,2025-01-01 00:00:00,2025-12-31 23:59:59,6357,4482,15,2025-06-06 01:20:06,2025-06-06 01:20:06
96,Coupon00096,5095,2025-01-01 00:00:00,2025-12-31 23:59:59,2144,387,18,2025-06-06 01:20:06,2025-06-06 01:20:06
97,Coupon00097,2947,2025-01-01 00:00:00,2025-12-31 23:59:59,5781,3915,59,2025-06-06 01:20:06,2025-06-06 01:20:06
98,Coupon00098,9807,2025-01-01 00:00:00,2025-12-31 23:59:59,2129,1802,18,2025-06-06 01:20:06,2025-06-06 01:20:06
99,Coupon00099,3396,2025-01-01 00:00:00,2025-12-31 23:59:59,3079,1628,41,2025-06-06 01:20:06,2025-06-06 01:20:06
100,Coupon00100,1818,2025-01-01 00:00:00,2025-12-31 23:59:59,6644,2392,83,2025-06-06 01:20:06,2025-06-06 01:20:06
101,Coupon00101,8129,2025-01-01 00:00:00,2025-12-31 23:59:59,1079,40,65,2025-06-06 01:20:06,2025-06-06 01:20:06
102,Coupon00102,1705,2025-01-01 00:00:00,2025-12-31 23:59:59,1887,1579,69,2025-06-06 01:20:06,2025-06-06 01:20:06
103,Coupon00103,3921,2025-01-01 00:00:00,2025-12-31 23:59:59,7986,2924,13,2025-06-06 01:20:06,2025-06-06 01:20:06
104,Coupon00104,6732,2025-01-01 00:00:00,2025-12-31 23:59:59,5443,4792,27,2025-06-06 01:20:06,2025-06-06 01:20:06
105,Coupon00105,4451,2025-01-01 00:00:00,2025-12-31 23:59:59,5599,2684,76,2025-06-06 01:20:06,2025-06-06 01:20:06
106,Coupon00106,5278,2025-01-01 00:00:00,2025-12-31 23:59:59,1278,439,16,2025-06-06 01:20:06,2025-06-06 01:20:06
107,Coupon00107,5118,2025-01-01 00:00:00,2025-12-31 23:59:59,6967,1758,29,2025-06-06 01:20:06,2025-06-06 01:20:06
108,Coupon00108,7851,2025-01-01 00:00:00,2025-12-31 23:59:59,1484,1079,8,2025-06-06 01:20:06,2025-06-06 01:20:06
109,Coupon00109,4304,2025-01-01 00:00:00,2025-12-31 23:59:59,1315,1058,88,2025-06-06 01:20:06,2025-06-06 01:20:06
110,Coupon00110,2021,2025-01-01 00:00:00,2025-12-31 23:59:59,7934,5575,35,2025-06-06 01:20:06,2025-06-06 01:20:06
111,Coupon00111,5162,2025-01-01 00:00:00,2025-12-31 23:59:59,6016,5688,44,2025-06-06 01:20:06,2025-06-06 01:20:06
112,Coupon00112,5906,2025-01-01 00:00:00,2025-12-31 23:59:59,4121,3921,13,2025-06-06 01:20:06,2025-06-06 01:20:06
113,Coupon00113,9480,2025-01-01 00:00:00,2025-12-31 23:59:59,5345,3261,60,2025-06-06 01:20:06,2025-06-06 01:20:06
114,Coupon00114,6709,2025-01-01 00:00:00,2025-12-31 23:59:59,2281,1003,70,2025-06-06 01:20:06,2025-06-06 01:20:06
115,Coupon00115,7105,2025-01-01 00:00:00,2025-12-31 23:59:59,6762,4121,71,2025-06-06 01:20:06,2025-06-06 01:20:06
116,Coupon00116,3485,2025-01-01 00:00:00,2025-12-31 23:59:59,8871,6306,62,2025-06-06 01:20:06,2025-06-06 01:20:06
117,Coupon00117,6908,2025-01-01 00:00:00,2025-12-31 23:59:59,8422,1226,54,2025-06-06 01:20:06,2025-06-06 01:20:06
118,Coupon00118,8623,2025-01-01 00:00:00,2025-12-31 23:59:59,8871,791,31,2025-06-06 01:20:06,2025-06-06 01:20:06
119,Coupon00119,5711,2025-01-01 00:00:00,2025-12-31 23:59:59,4125,464,26,2025-06-06 01:20:06,2025-06-06 01:20:06
120,Coupon00120,2461,2025-01-01 00:00:00,2025-12-31 23:59:59,6656,5378,59,2025-06-06 01:20:06,2025-06-06 01:20:06
121,Coupon00121,3524,2025-01-01 00:00:00,2025-12-31 23:59:59,3475,3285,7,2025-06-06 01:20:06,2025-06-06 01:20:06
122,Coupon00122,9894,2025-01-01 00:00:00,2025-12-31 23:59:59,2688,1285,88,2025-06-06 01:20:06,2025-06-06 01:20:06
123,Coupon00123,5483,2025-01-01 00:00:00,2025-12-31 23:59:59,1571,551,44,2025-06-06 01:20:06,2025-06-06 01:20:06
124,Coupon00124,6854,2025-01-01 00:00:00,2025-12-31 23:59:59,8400,2621,9,2025-06-06 01:20:06,2025-06-06 01:20:06
125,Coupon00125,2824,2025-01-01 00:00:00,2025-12-31 23:59:59,4307,698,70,2025-06-06 01:20:06,2025-06-06 01:20:06
126,Coupon00126,1489,2025-01-01 00:00:00,2025-12-31 23:59:59,6850,3001,59,2025-06-06 01:20:06,2025-06-06 01:20:06
127,Coupon00127,7252,2025-01-01 00:00:00,2025-12-31 23:59:59,7446,2995,15,2025-06-06 01:20:06,2025-06-06 01:20:06
128,Coupon00128,6781,2025-01-01 00:00:00,2025-12-31 23:59:59,3254,586,15,2025-06-06 01:20:06,2025-06-06 01:20:06
129,Coupon00129,1646,2025-01-01 00:00:00,2025-12-31 23:59:59,1781,1194,51,2025-06-06 01:20:06,2025-06-06 01:20:06
130,Coupon00130,1040,2025-01-01 00:00:00,2025-12-31 23:59:59,6581,1293,69,2025-06-06 01:20:06,2025-06-06 01:20:06
131,Coupon00131,7477,2025-01-01 00:00:00,2025-12-31 23:59:59,7193,5091,20,2025-06-06 01:20:06,2025-06-06 01:20:06
132,Coupon00132,3101,2025-01-01 00:00:00,2025-12-31 23:59:59,5862,4797,77,2025-06-06 01:20:06,2025-06-06 01:20:06
133,Coupon00133,6785,2025-01-01 00:00:00,2025-12-31 23:59:59,7118,2550,83,2025-06-06 01:20:06,2025-06-06 01:20:06
134,Coupon00134,9526,2025-01-01 00:00:00,2025-12-31 23:59:59,8933,1092,60,2025-06-06 01:20:06,2025-06-06 01:20:06
135,Coupon00135,3180,2025-01-01 00:00:00,2025-12-31 23:59:59,3872,1777,76,2025-06-06 01:20:06,2025-06-06 01:20:06
136,Coupon00136,2434,2025-01-01 00:00:00,2025-12-31 23:59:59,6291,165,43,2025-06-06 01:20:06,2025-06-06 01:20:06
137,Coupon00137,6622,2025-01-01 00:00:00,2025-12-31 23:59:59,9579,714,44,2025-06-06 01:20:06,2025-06-06 01:20:06
138,Coupon00138,4228,2025-01-01 00:00:00,2025-12-31 23:59:59,1505,1010,51,2025-06-06 01:20:06,2025-06-06 01:20:06
139,Coupon00139,3868,2025-01-01 00:00:00,2025-12-31 23:59:59,1517,890,15,2025-06-06 01:20:06,2025-06-06 01:20:06
140,Coupon00140,9757,2025-01-01 00:00:00,2025-12-31 23:59:59,6997,2003,40,2025-06-06 01:20:06,2025-06-06 01:20:06
141,Coupon00141,8509,2025-01-01 00:00:00,2025-12-31 23:59:59,8069,1390,39,2025-06-06 01:20:06,2025-06-06 01:20:06
142,Coupon00142,6409,2025-01-01 00:00:00,2025-12-31 23:59:59,9527,8494,67,2025-06-06 01:20:06,2025-06-06 01:20:06
143,Coupon00143,9446,2025-01-01 00:00:00,2025-12-31 23:59:59,6758,5765,35,2025-06-06 01:20:06,2025-06-06 01:20:06
144,Coupon00144,1874,2025-01-01 00:00:00,2025-12-31 23:59:59,2092,413,13,2025-06-06 01:20:06,2025-06-06 01:20:06
145,Coupon00145,4234,2025-01-01 00:00:00,2025-12-31 23:59:59,7759,6996,82,2025-06-06 01:20:06,2025-06-06 01:20:06
146,Coupon00146,2744,2025-01-01 00:00:00,2025-12-31 23:59:59,2976,156,12,2025-06-06 01:20:06,2025-06-06 01:20:06
147,Coupon00147,8447,2025-01-01 00:00:00,2025-12-31 23:59:59,4291,2670,78,2025-06-06 01:20:06,2025-06-06 01:20:06
148,Coupon00148,8562,2025-01-01 00:00:00,2025-12-31 23:59:59,1830,821,35,2025-06-06 01:20:06,2025-06-06 01:20:06
149,Coupon00149,7772,2025-01-01 00:00:00,2025-12-31 23:59:59,8253,6835,56,2025-06-06 01:20:06,2025-06-06 01:20:06
150,Coupon00150,7999,2025-01-01 00:00:00,2025-12-31 23:59:59,8234,6552,8,2025-06-06 01:20:06,2025-06-06 01:20:06
151,Coupon00151,5993,2025-01-01 00:00:00,2025-12-31 23:59:59,8044,6615,19,2025-06-06 01:20:06,2025-06-06 01:20:06
152,Coupon00152,7300,2025-01-01 00:00:00,2025-12-31 23:59:59,9745,5632,8,2025-06-06 01:20:06,2025-06-06 01:20:06
153,Coupon00153,9708,2025-01-01 00:00:00,2025-12-31 23:59:59,2908,335,23,2025-06-06 01:20:06,2025-06-06 01:20:06
154,Coupon00154,6524,2025-01-01 00:00:00,2025-12-31 23:59:59,1302,565,90,2025-06-06 01:20:06,2025-06-06 01:20:06
155,Coupon00155,2739,2025-01-01 00:00:00,2025-12-31 23:59:59,4471,4389,10,2025-06-06 01:20:06,2025-06-06 01:20:06
156,Coupon00156,9246,2025-01-01 00:00:00,2025-12-31 23:59:59,6486,3092,34,2025-06-06 01:20:06,2025-06-06 01:20:06
157,Coupon00157,4941,2025-01-01 00:00:00,2025-12-31 23:59:59,3482,197,53,2025-06-06 01:20:06,2025-06-06 01:20:06
158,Coupon00158,3201,2025-01-01 00:00:00,2025-12-31 23:59:59,9886,6598,82,2025-06-06 01:20:06,2025-06-06 01:20:06
159,Coupon00159,4982,2025-01-01 00:00:00,2025-12-31 23:59:59,6720,4587,12,2025-06-06 01:20:06,2025-06-06 01:20:06
160,Coupon00160,5254,2025-01-01 00:00:00,2025-12-31 23:59:59,8665,2163,19,2025-06-06 01:20:06,2025-06-06 01:20:06
161,Coupon00161,5180,2025-01-01 00:00:00,2025-12-31 23:59:59,7570,2,17,2025-06-06 01:20:06,2025-06-06 01:20:06
162,Coupon00162,1708,2025-01-01 00:00:00,2025-12-31 23:59:59,9917,4890,65,2025-06-06 01:20:06,2025-06-06 01:20:06
163,Coupon00163,7283,2025-01-01 00:00:00,2025-12-31 23:59:59,8102,1208,57,2025-06-06 01:20:06,2025-06-06 01:20:06
164,Coupon00164,8736,2025-01-01 00:00:00,2025-12-31 23:59:59,8377,5093,88,2025-06-06 01:20:06,2025-06-06 01:20:06
165,Coupon00165,2039,2025-01-01 00:00:00,2025-12-31 23:59:59,1035,996,43,2025-06-06 01:20:06,2025-06-06 01:20:06
166,Coupon00166,5865,2025-01-01 00:00:00,2025-12-31 23:59:59,8931,4194,45,2025-06-06 01:20:06,2025-06-06 01:20:06
167,Coupon00167,9666,2025-01-01 00:00:00,2025-12-31 23:59:59,8375,5166,25,2025-06-06 01:20:06,2025-06-06 01:20:06
168,Coupon00168,6837,2025-01-01 00:00:00,2025-12-31 23:59:59,4039,3495,74,2025-06-06 01:20:06,2025-06-06 01:20:06
169,Coupon00169,4972,2025-01-01 00:00:00,2025-12-31 23:59:59,9323,2738,66,2025-06-06 01:20:06,2025-06-06 01:20:06
170,Coupon00170,7628,2025-01-01 00:00:00,2025-12-31 23:59:59,3551,2364,80,2025-06-06 01:20:06,2025-06-06 01:20:06
171,Coupon00171,8119,2025-01-01 00:00:00,2025-12-31 23:59:59,3615,1866,10,2025-06-06 01:20:06,2025-06-06 01:20:06
172,Coupon00172,6085,2025-01-01 00:00:00,2025-12-31 23:59:59,1772,133,64,2025-06-06 01:20:06,2025-06-06 01:20:06
173,Coupon00173,7293,2025-01-01 00:00:00,2025-12-31 23:59:59,6840,3109,65,2025-06-06 01:20:06,2025-06-06 01:20:06
174,Coupon00174,2328,2025-01-01 00:00:00,2025-12-31 23:59:59,9950,5850,9,2025-06-06 01:20:06,2025-06-06 01:20:06
175,Coupon00175,6927,2025-01-01 00:00:00,2025-12-31 23:59:59,3713,1302,22,2025-06-06 01:20:06,2025-06-06 01:20:06
176,Coupon00176,7598,2025-01-01 00:00:00,2025-12-31 23:59:59,5056,2555,32,2025-06-06 01:20:06,2025-06-06 01:20:06
177,Coupon00177,3843,2025-01-01 00:00:00,2025-12-31 23:59:59,1432,1010,77,2025-06-06 01:20:06,2025-06-06 01:20:06
178,Coupon00178,3062,2025-01-01 00:00:00,2025-12-31 23:59:59,6789,1649,88,2025-06-06 01:20:06,2025-06-06 01:20:06
179,Coupon00179,7636,2025-01-01 00:00:00,2025-12-31 23:59:59,4310,3648,76,2025-06-06 01:20:06,2025-06-06 01:20:06
180,Coupon00180,7005,2025-01-01 00:00:00,2025-12-31 23:59:59,7974,1831,14,2025-06-06 01:20:06,2025-06-06 01:20:06
181,Coupon00181,4269,2025-01-01 00:00:00,2025-12-31 23:59:59,3032,2288,25,2025-06-06 01:20:06,2025-06-06 01:20:06
182,Coupon00182,6935,2025-01-01 00:00:00,2025-12-31 23:59:59,9539,3006,9,2025-06-06 01:20:06,2025-06-06 01:20:06
183,Coupon00183,5894,2025-01-01 00:00:00,2025-12-31 23:59:59,1360,303,79,2025-06-06 01:20:06,2025-06-06 01:20:06
184,Coupon00184,4926,2025-01-01 00:00:00,2025-12-31 23:59:59,1928,591,43,2025-06-06 01:20:06,2025-06-06 01:20:06
185,Coupon00185,8974,2025-01-01 00:00:00,2025-12-31 23:59:59,8168,3012,68,2025-06-06 01:20:06,2025-06-06 01:20:06
186,Coupon00186,3648,2025-01-01 00:00:00,2025-12-31 23:59:59,4068,3087,13,2025-06-06 01:20:06,2025-06-06 01:20:06
187,Coupon00187,7121,2025-01-01 00:00:00,2025-12-31 23:59:59,5929,3164,48,2025-06-06 01:20:06,2025-06-06 01:20:06
188,Coupon00188,5672,2025-01-01 00:00:00,2025-12-31 23:59:59,2431,1374,62,2025-06-06 01:20:06,2025-06-06 01:20:06
189,Coupon00189,5433,2025-01-01 00:00:00,2025-12-31 23:59:59,2816,655,58,2025-06-06 01:20:06,2025-06-06 01:20:06
190,Coupon00190,4923,2025-01-01 00:00:00,2025-12-31 23:59:59,8986,3460,47,2025-06-06 01:20:06,2025-06-06 01:20:06
191,Coupon00191,4716,2025-01-01 00:00:00,2025-12-31 23:59:59,9960,5564,77,2025-06-06 01:20:06,2025-06-06 01:20:06
192,Coupon00192,5309,2025-01-01 00:00:00,2025-12-31 23:59:59,2241,804,21,2025-06-06 01:20:06,2025-06-06 01:20:06
193,Coupon00193,2496,2025-01-01 00:00:00,2025-12-31 23:59:59,6112,2763,51,2025-06-06 01:20:06,2025-06-06 01:20:06
